Fila,UPZ_Original,Zona_Original,Zona_Correcta,Error
1,51 - LOS LIBERTADORES,Zona 4,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
23,33 - SOSIEGO,Zona 5,Zona 6,CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
33,34 - 20 DE JULIO,Zona 3,Zona 4,CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
36,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
41,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
47,33 - SOSIEGO,Zona 3,Zona 6,CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
51,33 - SOSIEGO,Zona 1,Zona 6,CONFLICTO: Zona 'Zona 1' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
53,51 - LOS LIBERTADORES,Zona 2,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
63,33 - SOSIEGO,Zona 4,Zona 6,CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
64,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
66,34 - 20 DE JULIO,Zona 1,Zona 4,CONFLICTO: Zona 'Zona 1' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
112,33 - SOSIEGO,Zona 4,Zona 6,CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
113,51 - LOS LIBERTADORES,Zona 6,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
114,50 - LA GLORIA,Zona 4,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
122,33 - SOSIEGO,Zona 1,Zona 6,CONFLICTO: Zona 'Zona 1' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
124,34 - 20 DE JULIO,Zona 2,Zona 4,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
127,50 - LA GLORIA,Zona 5,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
129,34 - 20 DE JULIO,Zona 2,Zona 4,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
131,33 - SOSIEGO,Zona 4,Zona 6,CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
134,34 - 20 DE JULIO,Zona 2,Zona 4,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
143,50 - LA GLORIA,Zona 5,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
144,50 - LA GLORIA,Zona 5,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
146,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
151,50 - LA GLORIA,Zona 4,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
164,50 - LA GLORIA,Zona 2,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
180,32 - SAN BLAS,Zona 3,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
181,50 - LA GLORIA,Zona 1,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 1' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
182,51 - LOS LIBERTADORES,Zona 2,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
188,32 - SAN BLAS,Zona 5,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
199,32 - SAN BLAS,Zona 3,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
201,50 - LA GLORIA,Zona 2,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
215,50 - LA GLORIA,Zona 6,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
217,33 - SOSIEGO,Zona 4,Zona 6,CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
218,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
222,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
239,34 - 20 DE JULIO,Zona 2,Zona 4,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
248,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
249,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
252,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
257,33 - SOSIEGO,Zona 5,Zona 6,CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
261,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
271,50 - LA GLORIA,Zona 4,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
279,50 - LA GLORIA,Zona 5,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
283,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
290,34 - 20 DE JULIO,Zona 2,Zona 4,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
292,50 - LA GLORIA,Zona 2,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
293,50 - LA GLORIA,Zona 4,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
306,34 - 20 DE JULIO,Zona 8,Zona 4,CONFLICTO: Zona 'Zona 8' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
308,50 - LA GLORIA,Zona 5,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
319,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
320,50 - LA GLORIA,Zona 5,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
324,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
325,50 - LA GLORIA,Zona 5,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
327,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
330,51 - LOS LIBERTADORES,Zona 4,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
331,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
332,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
334,50 - LA GLORIA,Zona 5,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
335,34 - 20 DE JULIO,Zona 2,Zona 4,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
336,51 - LOS LIBERTADORES,Zona 4,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
337,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
340,51 - LOS LIBERTADORES,Zona 4,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
345,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
347,33 - SOSIEGO,Zona 4,Zona 6,CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
353,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
356,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
358,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
359,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
360,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
368,32 - SAN BLAS,Zona 6,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
369,32 - SAN BLAS,Zona 6,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
371,32 - SAN BLAS,Zona 5,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
372,32 - SAN BLAS,Zona 5,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
374,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
375,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
376,33 - SOSIEGO,Zona 1,Zona 6,CONFLICTO: Zona 'Zona 1' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
377,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
378,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
379,33 - SOSIEGO,Zona 1,Zona 6,CONFLICTO: Zona 'Zona 1' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
380,34 - 20 DE JULIO,Zona 6,Zona 4,CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
382,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
388,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
391,34 - 20 DE JULIO,Zona 1,Zona 4,CONFLICTO: Zona 'Zona 1' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
393,51 - LOS LIBERTADORES,Zona 8,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 8' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
396,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
399,34 - 20 DE JULIO,Zona 1,Zona 4,CONFLICTO: Zona 'Zona 1' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
408,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
414,33 - SOSIEGO,Zona 4,Zona 6,CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
415,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
423,33 - SOSIEGO,Zona 1,Zona 6,CONFLICTO: Zona 'Zona 1' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
424,34 - 20 DE JULIO,Zona 3,Zona 4,CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
426,33 - SOSIEGO,Zona 4,Zona 6,CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
428,34 - 20 DE JULIO,Zona 3,Zona 4,CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
429,50 - LA GLORIA,Zona 2,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
430,33 - SOSIEGO,Zona 4,Zona 6,CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
431,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
432,33 - SOSIEGO,Zona 2,Zona 6,CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
436,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
438,32 - SAN BLAS,Zona 3,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
442,33 - SOSIEGO,Zona 4,Zona 6,CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
443,33 - SOSIEGO,Zona 4,Zona 6,CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
448,50 - LA GLORIA,Zona 5,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
449,50 - LA GLORIA,Zona 4,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
450,50 - LA GLORIA,Zona 4,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
453,50 - LA GLORIA,Zona 4,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
454,32 - SAN BLAS,Zona 5,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
457,51 - LOS LIBERTADORES,Zona 3,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
461,34 - 20 DE JULIO,Zona 3,Zona 4,CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
465,34 - 20 DE JULIO,Zona 6,Zona 4,CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
497,51 - LOS LIBERTADORES,Zona 2,"Zona 5, Zona 7","CONFLICTO: Zona 'Zona 2' no corresponde a UPZ '51 - LOS LIBERTADORES'. Zonas correctas: Zona 5, Zona 7"
503,34 - 20 DE JULIO,Zona 3,Zona 4,CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '34 - 20 DE JULIO'. Zonas correctas: Zona 4
505,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
508,50 - LA GLORIA,Zona 5,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 5' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
509,33 - SOSIEGO,Zona 3,Zona 6,CONFLICTO: Zona 'Zona 3' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
522,33 - SOSIEGO,Zona 4,Zona 6,CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '33 - SOSIEGO'. Zonas correctas: Zona 6
525,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
527,32 - SAN BLAS,Zona 6,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 6' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
531,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
535,32 - SAN BLAS,Zona 4,"Zona 1, Zona 2","CONFLICTO: Zona 'Zona 4' no corresponde a UPZ '32 - SAN BLAS'. Zonas correctas: Zona 1, Zona 2"
537,50 - LA GLORIA,Zona 7,"Zona 3, Zona 8","CONFLICTO: Zona 'Zona 7' no corresponde a UPZ '50 - LA GLORIA'. Zonas correctas: Zona 3, Zona 8"
